airplaneType,airFlightNum,originAirport,destinationAirport,curNumPassenger,scheduledTakeoffTime,scheduledDepartingTime,scheduledArrivingTime
Boeing 747,UA20438,MCO,CLE,227,38160,38220,43800
Airbus 380,UA20439,MCO,KPIT,649,22440,22500,27480
Airbus 380,UA20440,MCO,JFK,556,41340,41400,46980
Boeing 747,UA20441,MCO,KSEA,264,31500,31560,46860
Airbus 380,UA20442,MCO,KSTL,524,33360,33420,38640
Airbus 330,UA20443,MCO,ATL,304,36960,37020,40020
Boeing 747,UA20444,MCO,DEN,225,40020,40080,49440
Airbus 330,UA20445,MCO,KSTL,278,28620,28680,34860
Airbus 380,UA20446,MCO,KPHL,575,40620,40680,45840
Boeing 747,UA20447,MCO,KPHX,246,38520,38580,49740
Airbus 330,UA20448,MCO,ATL,327,35940,36000,39000
Boeing 747,UA20449,MCO,KSEA,235,28680,28740,44040
Airbus 330,UA20450,MCO,KPIT,321,35160,35220,41100
Boeing 747,UA20451,MCO,KCLT,254,27660,27720,30780
Airbus 330,UA20452,MCO,KMSP,282,34860,34920,43980
Airbus 330,UA20453,MCO,KCLT,296,43080,43140,46620
Boeing 747,UA20454,MCO,KSEA,225,23820,23880,39180
Airbus 380,UA20455,MCO,KNKX,590,36660,36720,49020
Boeing 747,UA20456,MCO,KSTL,227,34380,34440,39960
Airbus 330,UA20457,MCO,MCI,285,35400,35460,42960
Airbus 330,UA20458,MCO,MCI,330,22080,22140,29640
Boeing 747,UA20459,MCO,KCVG,261,34140,34200,39000
Airbus 380,UA20460,MCO,KSAV,538,38940,39000,40740
Boeing 747,UA20461,MCO,MCI,272,27540,27600,34200
Airbus 330,UA20462,MCO,KSTL,275,36060,36120,42300
Airbus 380,UA20463,MCO,KDTW,614,31440,31500,37200
Airbus 330,UA20464,MCO,MEM,273,40680,40740,45600
Airbus 380,UA20465,MCO,KPHX,592,42060,42120,52740
Boeing 747,UA20466,MCO,KPHX,230,24240,24300,35460
Boeing 747,UA20467,MCO,LAX,254,28980,29040,42360
Boeing 747,UA20468,MCO,LIT,257,26820,26880,31740
Boeing 747,UA20469,MCO,LAX,232,36240,36300,49620
Airbus 380,UA20470,MCO,KBOS,590,22860,22920,29520
Airbus 380,UA20471,MCO,KMIA,572,33360,33420,34800
Boeing 747,UA20472,MCO,KPHL,233,34320,34380,39780
Boeing 747,UA20473,MCO,JFK,225,41400,41460,47340
Boeing 747,UA20474,MCO,KPIT,269,27840,27900,33120
Boeing 747,UA20475,MCO,KPIT,271,42420,42480,47700
Airbus 330,UA20476,MCO,KBOS,313,34740,34800,42600
Airbus 380,UA20477,MCO,LIT,542,24960,25020,29700
Airbus 330,UA20478,MCO,KBOS,319,24300,24360,32160
Airbus 380,UA20479,MCO,KNKX,625,40440,40500,52800
Airbus 380,UA20480,MCO,KSEA,639,41700,41760,56340
Airbus 330,UA20481,MCO,DEN,295,39540,39600,50220
Boeing 747,UA20482,MCO,KPHX,244,29640,29700,40860
Airbus 330,UA20483,MCO,JFK,324,29040,29100,35760
Boeing 747,UA20484,MCO,LIT,245,40200,40260,45120
Airbus 330,UA20485,MCO,KNKX,303,40620,40680,55260
Boeing 747,UA20486,MCO,KPIT,265,27900,27960,33180
Airbus 380,UA20487,MCO,KSLC,550,30180,30240,41340
Boeing 747,UA20488,MCO,LIT,223,41940,42000,46860
Airbus 330,UA20489,MCO,CLE,307,30120,30180,36480
Airbus 380,UA20490,MCO,KSLC,563,39540,39600,50700
Airbus 330,UA20491,MCO,MCI,309,40020,40080,47580
Airbus 380,UA20492,MCO,SFO,584,33960,34020,48000
Airbus 380,UA20493,MCO,KPHL,599,28680,28740,33900
Airbus 380,UA20494,MCO,CLE,593,42420,42480,47820
Airbus 330,UA20495,MCO,LAX,325,21780,21840,36900
Airbus 330,UA20496,MCO,ORD,286,30480,30540,37560
Boeing 747,UA20497,MCO,KMIA,252,42780,42840,44280
Airbus 380,UA20498,MCO,KMIA,550,24960,25020,26400
Airbus 330,UA20499,MCO,KSTL,293,32400,32460,38640
Airbus 380,UA20500,KPHX,KCLT,535,26160,26220,36420
Airbus 330,UA20501,KPHX,SFO,315,29100,29160,33840
Boeing 747,UA20502,KPHX,KMSY,254,37980,38040,45960
Airbus 330,UA20503,KPHX,KSAV,300,32280,32340,44580
Airbus 330,UA20504,KPHX,MCO,313,26760,26820,39420
Airbus 380,UA20505,KPHX,KMIA,587,35580,35640,46920
Airbus 330,UA20506,KPHX,JFK,310,35040,35100,49740
Boeing 747,UA20507,KPHX,KCLT,249,37680,37740,48420
Airbus 330,UA20508,KPHX,KSAV,280,24300,24360,36600
Airbus 330,UA20509,KPHX,MCO,319,35700,35760,48360
Airbus 380,UA20510,KPHX,KNKX,595,34260,34320,36300
Airbus 330,UA20511,KPHX,KPHL,308,32220,32280,46440
Airbus 330,UA20512,KPHX,ORD,310,40320,40380,50280
Boeing 747,UA20513,KPHX,KSLC,272,27300,27360,30660
Airbus 380,UA20514,KPHX,JFK,620,32280,32340,44640
Airbus 380,UA20515,KPHX,ATL,533,32220,32280,41460
Airbus 380,UA20516,KPHX,KMSY,588,28260,28320,35880
Boeing 747,UA20517,KPHX,MCI,228,41520,41580,48000
Boeing 747,UA20518,KPHX,CLE,224,39840,39900,50400
Airbus 330,UA20519,KPHX,KSAV,292,33720,33780,46020
Airbus 380,UA20520,KPHX,KMCI,541,27960,28020,34140
Airbus 330,UA20521,KPHX,SFO,309,42240,42300,46980
Airbus 380,UA20522,KPHX,ATL,548,37440,37500,46680
Airbus 330,UA20523,KPHX,KSEA,319,42900,42960,50640
Airbus 380,UA20524,KPHX,DEN,556,34500,34560,38220
Airbus 330,UA20525,KPHX,LAX,324,26520,26580,29400
Airbus 330,UA20526,KPHX,ATL,320,27360,27420,38280
Airbus 330,UA20527,KPHX,KPIT,304,38460,38520,50940
Boeing 747,UA20528,KPHX,KSTL,275,36480,36540,44220
Airbus 380,UA20529,KPHX,CLE,575,26760,26820,36840
Airbus 380,UA20530,KPHX,MCI,642,22620,22680,28800
Boeing 747,UA20531,KPHX,KSLC,222,33240,33300,36600
Airbus 330,UA20532,KPHX,KCVG,296,37920,37980,48720
Boeing 747,UA20533,KPHX,JFK,230,29280,29340,42240
Airbus 380,UA20534,KPHX,KCLT,552,32400,32460,42660
Boeing 747,UA20535,KPHX,KNKX,267,23700,23760,25860
Airbus 380,UA20536,KPHX,MCO,555,22620,22680,33300
Airbus 380,UA20537,KPHX,KCLT,610,30840,30900,41100
Airbus 380,UA20538,KPHX,DEN,601,23640,23700,27360
Airbus 380,UA20539,KPHX,MCI,600,35340,35400,41520
Airbus 380,UA20540,KPHX,KNKX,553,28980,29040,31020
Airbus 330,UA20541,KPHX,MEM,330,33780,33840,42600
Boeing 747,UA20542,KPHX,KSAV,265,26880,26940,37740
Boeing 747,UA20543,KPHX,KCLT,231,33420,33480,44160
Boeing 747,UA20544,KPHX,KMSP,261,23820,23880,31680
Boeing 747,UA20545,KPHX,KSTL,237,42420,42480,50160
Airbus 330,UA20546,KPHX,ORD,295,39480,39540,49440
Boeing 747,UA20547,KPHX,JFK,270,24300,24360,37260
Airbus 330,UA20548,KPHX,KSLC,271,34500,34560,38280
Airbus 330,UA20549,KPHX,KSEA,313,32340,32400,40080
Airbus 380,UA20550,KPHX,KMCI,608,24720,24780,30900
Airbus 330,UA20551,KPHX,LIT,310,38280,38340,46260
Airbus 380,UA20552,KPHX,KSTL,593,21840,21900,29280
Airbus 330,UA20553,KPHX,ATL,280,34740,34800,45660
Airbus 330,UA20554,KPHX,KSEA,278,32700,32760,40440
Boeing 747,UA20555,KPHX,KPIT,230,41880,41940,52860
Boeing 747,UA20556,KPHX,ATL,252,42180,42240,51840
Airbus 330,UA20557,KPHX,KBOS,277,30000,30060,45660
Airbus 330,UA20558,KPHX,ATL,308,26640,26700,37560
Airbus 380,UA20559,KPHX,JFK,571,38700,38760,51060
Boeing 747,UA20560,KPHX,KCLT,260,22560,22620,33300
Airbus 380,UA20561,KPHX,JFK,535,38040,38100,50400
Boeing 747,UA20562,KPHX,KSEA,264,22440,22500,29340
Boeing 747,UA20563,KPHX,KCLT,260,22320,22380,33060
Boeing 747,UA20564,KPHX,SFO,253,35580,35640,39780
Boeing 747,UA20565,KPHX,KCVG,248,29040,29100,38580
Boeing 747,UA20566,KPHX,KMSP,255,35760,35820,43620
Boeing 747,UA20567,KPHX,KMSP,238,28380,28440,36240
Airbus 330,UA20568,KPHX,KMSP,295,27900,27960,36780
Airbus 330,UA20569,KPHX,KBOS,285,25920,25980,41580
Boeing 747,UA20570,KPHX,LIT,249,41400,41460,48420
Boeing 747,UA20571,KPHX,KCLT,239,35580,35640,46320
Boeing 747,UA20572,KPHX,SFO,259,23040,23100,27240
Airbus 330,UA20573,KPHX,KSEA,281,25140,25200,32880
Airbus 380,UA20574,KPHX,MEM,536,42720,42780,50160
Airbus 380,UA20575,KPHX,KPIT,536,42660,42720,53160
Airbus 380,UA20576,KPHX,KSTL,569,40680,40740,48120
Airbus 380,UA20577,KPHX,KPHL,593,40020,40080,51960
Airbus 330,UA20578,KPHX,LAX,279,33420,33480,36300
Airbus 330,UA20579,KPHX,KCLT,278,40200,40260,52380
Airbus 380,UA20580,KPHX,LIT,650,42000,42060,48720
Boeing 747,UA20581,KPHX,ORD,265,31740,31800,40560
Boeing 747,UA20582,KPHX,KSTL,263,30960,31020,38700
Airbus 380,UA20583,KPHX,KDTW,556,31740,31800,41400
Airbus 380,UA20584,KPHX,KSLC,580,32640,32700,35880
Airbus 330,UA20585,KPHX,KMCI,278,23280,23340,30600
Airbus 380,UA20586,KPHX,KMSY,642,30960,31020,38580
Airbus 380,UA20587,KPHX,SFO,566,37140,37200,41160
Airbus 380,UA20588,KPHX,KSTL,634,24240,24300,31680
Boeing 747,UA20589,KPHX,KBOS,269,29880,29940,43740
Airbus 380,UA20590,KPHX,KSLC,563,35160,35220,38400
Boeing 747,UA20591,KPHX,ORD,266,23340,23400,32160
Airbus 380,UA20592,KPHX,KPIT,524,31080,31140,41580
Boeing 747,UA20593,KPHX,LAX,232,23640,23700,26220
Boeing 747,UA20594,KPHX,MCO,239,34980,35040,46200
Airbus 380,UA20595,KPHX,LAX,613,29520,29580,31980
Airbus 330,UA20596,KPHX,ORD,318,40440,40500,50400
Boeing 747,UA20597,KPHX,MEM,272,22980,23040,30780
Airbus 330,UA20598,KPHX,KMSY,324,39780,39840,48840
Boeing 747,UA20599,KPHX,LIT,243,34680,34740,41700
Boeing 747,UA20600,KMIA,KMSP,225,41280,41340,50460
Airbus 380,UA20601,KMIA,KSTL,592,24600,24660,30960
Airbus 380,UA20602,KMIA,KDTW,557,34500,34560,41280
Airbus 380,UA20603,KMIA,MEM,619,23400,23460,28560
Airbus 380,UA20604,KMIA,LIT,543,33840,33900,39480
Boeing 747,UA20605,KMIA,DEN,258,24720,24780,35100
Airbus 330,UA20606,KMIA,LAX,305,42120,42180,58080
Boeing 747,UA20607,KMIA,KCLT,252,36240,36300,40440
Airbus 330,UA20608,KMIA,MEM,287,26280,26340,32400
Boeing 747,UA20609,KMIA,DEN,232,26760,26820,37140
Boeing 747,UA20610,KMIA,KCVG,267,39720,39780,45660
Airbus 330,UA20611,KMIA,ATL,311,38160,38220,42540
Airbus 330,UA20612,KMIA,MCI,283,37920,37980,46680
Boeing 747,UA20613,KMIA,KCVG,221,24060,24120,30000
Airbus 330,UA20614,KMIA,LIT,322,28380,28440,35040
Airbus 380,UA20615,KMIA,KMSY,599,34080,34140,38220
Boeing 747,UA20616,KMIA,KSLC,250,41160,41220,53760
Boeing 747,UA20617,KMIA,DEN,261,42000,42060,52380
Airbus 380,UA20618,KMIA,KCVG,565,41760,41820,47460
Boeing 747,UA20619,KMIA,CLE,270,29280,29340,36000
Airbus 380,UA20620,KMIA,KDTW,537,41640,41700,48420
Boeing 747,UA20621,KMIA,KBOS,247,34800,34860,42600
Airbus 330,UA20622,KMIA,KPIT,290,39120,39180,46260
Boeing 747,UA20623,KMIA,KSEA,231,34500,34560,50820
Boeing 747,UA20624,KMIA,CLE,263,23100,23160,29820
Airbus 380,UA20625,KMIA,ORD,601,30660,30720,37740
Boeing 747,UA20626,KMIA,KPHX,240,43140,43200,55080
Airbus 380,UA20627,KMIA,LAX,554,26400,26460,39840
Airbus 380,UA20628,KMIA,KSLC,583,23820,23880,35820
Airbus 330,UA20629,KMIA,KSLC,298,36540,36600,50820
Airbus 380,UA20630,KMIA,KSEA,591,21900,21960,37440
Boeing 747,UA20631,KMIA,KPHL,255,22740,22800,29100
Airbus 380,UA20632,KMIA,DEN,525,23280,23340,33180
Boeing 747,UA20633,KMIA,JFK,235,22860,22920,29640
Airbus 330,UA20634,KMIA,KMSP,294,31080,31140,41460
Boeing 747,UA20635,KMIA,KMCI,225,32040,32100,39780
Airbus 330,UA20636,KMIA,KSAV,277,36960,37020,40260
Airbus 380,UA20637,KMIA,KSLC,585,36180,36240,48180
Airbus 380,UA20638,KMIA,KSLC,597,22980,23040,34980
Airbus 380,UA20639,KMIA,JFK,536,33900,33960,40380
Airbus 330,UA20640,KMIA,MEM,319,26760,26820,32880
Boeing 747,UA20641,KMIA,MEM,273,22980,23040,28380
Airbus 380,UA20642,KMIA,CLE,622,36660,36720,43080
Boeing 747,UA20643,KMIA,JFK,266,34440,34500,41220
Airbus 380,UA20644,KMIA,KSTL,540,36120,36180,42480
Airbus 330,UA20645,KMIA,JFK,334,33780,33840,41460
Airbus 330,UA20646,KMIA,KNKX,314,31560,31620,47040
Boeing 747,UA20647,KMIA,SFO,257,27360,27420,42900
Airbus 380,UA20648,KMIA,ORD,539,27120,27180,34200
Boeing 747,UA20649,KMIA,MEM,270,41640,41700,47040
Boeing 747,UA20650,KMIA,KSEA,236,28620,28680,44940
Airbus 380,UA20651,KMIA,KMSP,630,37560,37620,46320
Boeing 747,UA20652,KMIA,SFO,264,42360,42420,57900
Airbus 380,UA20653,KMIA,KDTW,549,30780,30840,37560
Airbus 380,UA20654,KMIA,KMCI,626,42600,42660,49980
Boeing 747,UA20655,KMIA,CLE,225,24000,24060,30720
Airbus 330,UA20656,KMIA,KPIT,300,35580,35640,42720
Airbus 330,UA20657,KMIA,MCO,292,36000,36060,37680
Airbus 330,UA20658,KMIA,KBOS,304,29040,29100,37860
Airbus 330,UA20659,KMIA,JFK,286,40560,40620,48240
Boeing 747,UA20660,KMIA,KMSP,253,32820,32880,42000
Airbus 380,UA20661,KMIA,KMSP,613,33900,33960,42660
Airbus 330,UA20662,KMIA,LAX,277,23100,23160,39060
Airbus 380,UA20663,KMIA,KMSP,623,23700,23760,32460
Boeing 747,UA20664,KMIA,LIT,251,35700,35760,41580
Boeing 747,UA20665,KMIA,CLE,241,27780,27840,34500
Airbus 330,UA20666,KMIA,KPHL,274,33480,33540,40620
Airbus 380,UA20667,KMIA,MEM,594,34860,34920,40020
Airbus 380,UA20668,KMIA,KMCI,570,38160,38220,45540
Boeing 747,UA20669,KMIA,KMSP,275,30960,31020,40140
Airbus 380,UA20670,KMIA,LIT,586,23400,23460,29040
Boeing 747,UA20671,KMIA,KPHX,256,30660,30720,42600
Boeing 747,UA20672,KMIA,ATL,265,33780,33840,37680
Boeing 747,UA20673,KMIA,KCLT,233,22020,22080,26220
Boeing 747,UA20674,KMIA,ATL,249,31260,31320,35160
Boeing 747,UA20675,KMIA,KMSY,232,33240,33300,37560
Boeing 747,UA20676,KMIA,LIT,267,39480,39540,45360
Airbus 330,UA20677,KMIA,MCO,292,37440,37500,39120
Airbus 380,UA20678,KMIA,ORD,590,33180,33240,40260
Airbus 380,UA20679,KMIA,DEN,522,39360,39420,49260
Airbus 330,UA20680,KMIA,JFK,294,30840,30900,38520
Airbus 380,UA20681,KMIA,KSEA,632,39720,39780,55260
Boeing 747,UA20682,KMIA,ORD,250,40440,40500,47880
Airbus 380,UA20683,KMIA,LIT,587,26520,26580,32160
Airbus 330,UA20684,KMIA,ATL,274,27480,27540,31860
Airbus 330,UA20685,KMIA,MEM,324,42240,42300,48360
Airbus 380,UA20686,KMIA,ORD,554,22980,23040,30060
Airbus 330,UA20687,KMIA,LIT,300,27480,27540,34140
Boeing 747,UA20688,KMIA,KDTW,254,36780,36840,43920
Boeing 747,UA20689,KMIA,ORD,255,37800,37860,45240
Airbus 330,UA20690,KMIA,KPHX,327,24120,24180,37620
Airbus 330,UA20691,KMIA,KSEA,303,42780,42840,61320
Airbus 380,UA20692,KMIA,KCVG,620,24780,24840,30480
Airbus 330,UA20693,KMIA,MCI,313,41520,41580,50280
Airbus 380,UA20694,KMIA,MCI,632,35160,35220,42540
Airbus 380,UA20695,KMIA,ORD,587,27900,27960,34980
Boeing 747,UA20696,KMIA,JFK,262,22020,22080,28800
Airbus 380,UA20697,KMIA,KSLC,542,28800,28860,40800
Boeing 747,UA20698,KMIA,LIT,268,27840,27900,33720
Airbus 380,UA20699,KMIA,ORD,602,31860,31920,38940
Airbus 330,UA20700,KMSY,KMSP,277,36180,36240,43500
Airbus 380,UA20701,KMSY,DEN,570,36180,36240,42480
Boeing 747,UA20702,KMSY,KMIA,260,41460,41520,45780
Airbus 380,UA20703,KMSY,KPHL,638,41340,41400,47820
Airbus 330,UA20704,KMSY,KPHL,307,28260,28320,35880
Airbus 380,UA20705,KMSY,KBOS,574,40800,40860,48780
Airbus 380,UA20706,KMSY,LAX,549,35940,36000,45600
Airbus 330,UA20707,KMSY,KPIT,302,33900,33960,40440
Airbus 330,UA20708,KMSY,KSTL,316,21960,22020,26400
Boeing 747,UA20709,KMSY,KPHL,236,37560,37620,44340
Airbus 330,UA20710,KMSY,MEM,274,26400,26460,29100
Airbus 330,UA20711,KMSY,KPHX,277,41700,41760,50760
Airbus 330,UA20712,KMSY,KPIT,318,26760,26820,33300
Boeing 747,UA20713,KMSY,KSEA,254,33240,33300,45840
Boeing 747,UA20714,KMSY,LAX,270,36300,36360,46440
Airbus 330,UA20715,KMSY,JFK,332,28200,28260,36480
Airbus 330,UA20716,KMSY,KSTL,309,38220,38280,42660
Airbus 380,UA20717,KMSY,KMSP,546,32700,32760,38880
Airbus 380,UA20718,KMSY,KMIA,586,29220,29280,33360
Boeing 747,UA20719,KMSY,KSEA,266,26640,26700,39240
Boeing 747,UA20720,KMSY,KBOS,250,26280,26340,34680
Boeing 747,UA20721,KMSY,CLE,259,37200,37260,42960
Airbus 380,UA20722,KMSY,MEM,592,34920,34980,37260
Boeing 747,UA20723,KMSY,KMSP,221,37980,38040,44460
Airbus 380,UA20724,KMSY,KSTL,534,26580,26640,30360
Boeing 747,UA20725,KMSY,KPIT,239,40440,40500,46200
Boeing 747,UA20726,KMSY,KMIA,239,34920,34980,39240
Boeing 747,UA20727,KMSY,KSLC,242,25380,25440,34140
Airbus 380,UA20728,KMSY,KCVG,602,42360,42420,46680
Boeing 747,UA20729,KMSY,KSLC,227,27180,27240,35940
Airbus 330,UA20730,KMSY,KSEA,286,32820,32880,47100
Airbus 380,UA20731,KMSY,MCI,621,39840,39900,44100
Boeing 747,UA20732,KMSY,KCLT,221,24000,24060,28200
Airbus 330,UA20733,KMSY,KMSP,322,25740,25800,33060
Airbus 330,UA20734,KMSY,LIT,313,27300,27360,30000
Airbus 380,UA20735,KMSY,KNKX,561,42840,42900,52140
Airbus 380,UA20736,KMSY,ATL,579,25680,25740,28440
Boeing 747,UA20737,KMSY,KPHX,259,27780,27840,35760
Airbus 380,UA20738,KMSY,SFO,623,37080,37140,48120
Airbus 330,UA20739,KMSY,KNKX,278,36840,36900,47820
Boeing 747,UA20740,KMSY,KMSP,240,42240,42300,48720
Airbus 380,UA20741,KMSY,ATL,561,35760,35820,38520
Boeing 747,UA20742,KMSY,MEM,242,30000,30060,32460
Airbus 380,UA20743,KMSY,KPHX,608,42540,42600,50160
Airbus 330,UA20744,KMSY,KMSP,299,41220,41280,48540
Airbus 330,UA20745,KMSY,KBOS,294,35280,35340,44760
Airbus 380,UA20746,KMSY,MEM,646,38280,38340,40620
Airbus 380,UA20747,KMSY,KPIT,608,41460,41520,46980
Boeing 747,UA20748,KMSY,KMIA,254,39960,40020,44280
Airbus 380,UA20749,KMSY,KMCI,645,39840,39900,44100
Airbus 330,UA20750,KMSY,KSLC,284,33540,33600,43440
Airbus 330,UA20751,KMSY,KSEA,288,21840,21900,36120
Airbus 330,UA20752,KMSY,KMSP,309,32880,32940,40200
Airbus 330,UA20753,KMSY,KCLT,288,24180,24240,28920
Airbus 330,UA20754,KMSY,KCVG,271,22620,22680,27660
Airbus 330,UA20755,KMSY,KMCI,322,33240,33300,38220
Airbus 380,UA20756,KMSY,KCVG,610,42480,42540,46800
Airbus 330,UA20757,KMSY,LIT,298,28920,28980,31620
Boeing 747,UA20758,KMSY,KPHL,243,32400,32460,39180
Airbus 330,UA20759,KMSY,KBOS,286,31080,31140,40560
Airbus 330,UA20760,KMSY,KCVG,268,34080,34140,39120
Airbus 330,UA20761,KMSY,KPHL,327,34500,34560,42120
Boeing 747,UA20762,KMSY,KSTL,252,32220,32280,36180
Airbus 330,UA20763,KMSY,KPIT,309,31080,31140,37620
Airbus 330,UA20764,KMSY,KBOS,310,34500,34560,43980
Boeing 747,UA20765,KMSY,KMSP,226,24060,24120,30540
Airbus 330,UA20766,KMSY,MCO,313,29220,29280,33300
Boeing 747,UA20767,KMSY,KNKX,250,37140,37200,46860
Boeing 747,UA20768,KMSY,CLE,271,34740,34800,40500
Airbus 380,UA20769,KMSY,MEM,646,37380,37440,39720
Airbus 330,UA20770,KMSY,CLE,315,35340,35400,41880
Boeing 747,UA20771,KMSY,LIT,224,35400,35460,37800
Boeing 747,UA20772,KMSY,KCLT,243,26640,26700,30840
Boeing 747,UA20773,KMSY,LIT,266,22140,22200,24540
Airbus 330,UA20774,KMSY,KDTW,305,22200,22260,28740
Boeing 747,UA20775,KMSY,KCLT,240,30240,30300,34440
Airbus 330,UA20776,KMSY,JFK,277,23160,23220,31440
Boeing 747,UA20777,KMSY,KNKX,272,35280,35340,45000
Boeing 747,UA20778,KMSY,LAX,222,27420,27480,37560
Airbus 330,UA20779,KMSY,KBOS,277,40620,40680,50100
Airbus 330,UA20780,KMSY,KMCI,278,34860,34920,39840
Airbus 380,UA20781,KMSY,KPHL,594,36600,36660,43080
Boeing 747,UA20782,KMSY,ORD,271,39720,39780,45000
Boeing 747,UA20783,KMSY,JFK,258,41280,41340,48600
Boeing 747,UA20784,KMSY,DEN,249,37680,37740,44280
Boeing 747,UA20785,KMSY,CLE,269,35940,36000,41700
Airbus 380,UA20786,KMSY,KMCI,562,42720,42780,46980
Airbus 380,UA20787,KMSY,MCI,630,31140,31200,35400
Airbus 380,UA20788,KMSY,KSEA,577,41880,41940,53880
Airbus 330,UA20789,KMSY,KMSP,283,39480,39540,46800
Airbus 330,UA20790,KMSY,KMCI,268,36600,36660,41580
Boeing 747,UA20791,KMSY,SFO,247,38160,38220,49740
Airbus 380,UA20792,KMSY,LAX,570,36360,36420,46020
Boeing 747,UA20793,KMSY,KSAV,275,24960,25020,28620
Boeing 747,UA20794,KMSY,KSAV,233,36060,36120,39720
Boeing 747,UA20795,KMSY,KSEA,262,35940,36000,48540
Airbus 380,UA20796,KMSY,KSAV,605,40440,40500,43920
Boeing 747,UA20797,KMSY,KSTL,224,24960,25020,28920
Boeing 747,UA20798,KMSY,KSLC,251,41820,41880,50580
Boeing 747,UA20799,KMSY,KSEA,237,33900,33960,46500
Boeing 747,UA20800,KDTW,KNKX,253,26160,26220,37920
Boeing 747,UA20801,KDTW,KPHX,270,24180,24240,34320
Airbus 380,UA20802,KDTW,KMSP,640,26640,26700,29940
Airbus 380,UA20803,KDTW,KMIA,569,41340,41400,48120
Airbus 380,UA20804,KDTW,DEN,545,27300,27360,33960
Airbus 330,UA20805,KDTW,MCI,304,23760,23820,28320
Boeing 747,UA20806,KDTW,CLE,228,32940,33000,33900
Airbus 380,UA20807,KDTW,DEN,561,40020,40080,46680
Airbus 380,UA20808,KDTW,KMCI,600,36780,36840,40680
Boeing 747,UA20809,KDTW,KNKX,223,25800,25860,37560
Boeing 747,UA20810,KDTW,DEN,273,42240,42300,49200
Airbus 330,UA20811,KDTW,KMSY,303,40320,40380,46860
Boeing 747,UA20812,KDTW,KCVG,246,33180,33240,34920
Airbus 380,UA20813,KDTW,MCO,538,35820,35880,41580
Boeing 747,UA20814,KDTW,KMIA,231,39240,39300,46380
Airbus 330,UA20815,KDTW,CLE,284,24900,24960,25920
Airbus 380,UA20816,KDTW,JFK,650,36360,36420,39600
Boeing 747,UA20817,KDTW,LAX,223,24180,24240,36120
Airbus 330,UA20818,KDTW,SFO,287,29580,29640,43800
Airbus 330,UA20819,KDTW,KNKX,302,39480,39540,52860
Airbus 380,UA20820,KDTW,ATL,569,36120,36180,39840
Airbus 330,UA20821,KDTW,KPIT,293,26700,26760,28440
Boeing 747,UA20822,KDTW,SFO,221,40080,40140,52620
Airbus 330,UA20823,KDTW,KNKX,318,38280,38340,51660
Boeing 747,UA20824,KDTW,KMSY,250,41220,41280,47040
Airbus 380,UA20825,KDTW,DEN,550,22920,22980,29580
Boeing 747,UA20826,KDTW,MCO,240,36960,37020,42960
Airbus 330,UA20827,KDTW,ORD,290,40620,40680,42600
Boeing 747,UA20828,KDTW,ATL,221,38100,38160,42000
Airbus 380,UA20829,KDTW,LIT,561,26820,26880,31140
Airbus 330,UA20830,KDTW,ATL,292,34500,34560,38880
Airbus 380,UA20831,KDTW,CLE,533,28740,28800,29640
Boeing 747,UA20832,KDTW,MEM,229,26640,26700,30600
Boeing 747,UA20833,KDTW,KSEA,255,24960,25020,36600
Boeing 747,UA20834,KDTW,KMIA,231,24060,24120,31200
Airbus 380,UA20835,KDTW,LIT,548,25560,25620,29880
Airbus 330,UA20836,KDTW,MCO,297,42720,42780,49500
Boeing 747,UA20837,KDTW,MCI,274,23040,23100,27120
Airbus 380,UA20838,KDTW,KSTL,540,38520,38580,41340
Airbus 380,UA20839,KDTW,KMSP,533,22740,22800,26040
Boeing 747,UA20840,KDTW,KSAV,235,31140,31200,35640
Airbus 380,UA20841,KDTW,LIT,620,29100,29160,33420
Airbus 380,UA20842,KDTW,DEN,642,38700,38760,45360
Boeing 747,UA20843,KDTW,LAX,228,21900,21960,33840
Airbus 330,UA20844,KDTW,KNKX,274,29160,29220,42540
Boeing 747,UA20845,KDTW,MCO,274,39840,39900,45840
Boeing 747,UA20846,KDTW,KCVG,239,35580,35640,37320
Boeing 747,UA20847,KDTW,LAX,260,40440,40500,52380
Airbus 330,UA20848,KDTW,KMSP,278,39240,39300,43140
Boeing 747,UA20849,KDTW,KSEA,228,34080,34140,45720
Airbus 330,UA20850,KDTW,JFK,280,35460,35520,39240
Boeing 747,UA20851,KDTW,LAX,255,31860,31920,43800
Airbus 380,UA20852,KDTW,KCLT,546,23580,23640,26760
Boeing 747,UA20853,KDTW,CLE,275,38280,38340,39240
Boeing 747,UA20854,KDTW,MCO,229,27600,27660,33600
Airbus 330,UA20855,KDTW,KMSP,281,26760,26820,30660
Boeing 747,UA20856,KDTW,KMIA,231,28740,28800,35880
Boeing 747,UA20857,KDTW,DEN,236,30960,31020,37920
Airbus 380,UA20858,KDTW,KSLC,640,28080,28140,36720
Boeing 747,UA20859,KDTW,MCI,231,29640,29700,33720
Airbus 330,UA20860,KDTW,ATL,301,31200,31260,35580
Boeing 747,UA20861,KDTW,MEM,241,42060,42120,46020
Airbus 330,UA20862,KDTW,KMSY,325,32280,32340,38820
Boeing 747,UA20863,KDTW,DEN,272,27780,27840,34740
Airbus 330,UA20864,KDTW,KSAV,333,32040,32100,37140
Boeing 747,UA20865,KDTW,LIT,230,31200,31260,35700
Airbus 330,UA20866,KDTW,ORD,321,35100,35160,37080
